id,stop,station,location,include,prefer,shape
30222,Clinton (Harlem-54th/Cermak-bound),Clinton (Green & Pink Lines),"(41.885678, -87.641782)",FALSE,FALSE,
30221,Clinton (Loop-63rd-bound),Clinton (Green & Pink Lines),"(41.885678, -87.641782)",FALSE,FALSE,
30085,Clinton (Forest Pk-bound),Clinton (Blue Line),"(41.875539, -87.640984)",FALSE,FALSE,
30084,Clinton (O'Hare-bound),Clinton (Blue Line),"(41.875539, -87.640984)",FALSE,FALSE,
30291,Conservatory (63rd-bound),Conservatory (Green Line),"(41.884904, -87.716523)",FALSE,FALSE,
30292,Conservatory (Harlem-bound),Conservatory (Green Line),"(41.884904, -87.716523)",FALSE,FALSE,
30140,Cottage Grove (Harlem-bound),Cottage Grove (Green Line),"(41.780309, -87.605857)",FALSE,FALSE,
30139,Cottage Grove (Terminal arrival),Cottage Grove (Green Line),"(41.780309, -87.605857)",FALSE,FALSE,
30044,Cumberland (O'Hare-bound),Cumberland (Blue Line),"(41.984246, -87.838028)",FALSE,FALSE,
30045,Cumberland (Forest Pk-bound),Cumberland (Blue Line),"(41.984246, -87.838028)",FALSE,FALSE,
30019,Damen (Loop-bound),Damen (Brown Line),"(41.966286, -87.678639)",FALSE,FALSE,
30041,Damen (54th/Cermak-bound),Damen (Pink Line),"(41.854517, -87.675975)",FALSE,FALSE,
30040,Damen (Loop-bound),Damen (Pink Line),"(41.854517, -87.675975)",FALSE,FALSE,
30116,Damen/Milwaukee (Forest Pk-bound),Damen (Blue Line),"(41.909744, -87.677437)",TRUE,TRUE,diagonal
30115,Damen/Milwaukee (O'Hare-bound),Damen (Blue Line),"(41.909744, -87.677437)",FALSE,FALSE,
30018,Damen (Kimball-bound),Damen (Brown Line),"(41.966286, -87.678639)",FALSE,FALSE,
30010,Davis (Linden-bound),Davis (Purple Line),"(42.04771, -87.683543)",FALSE,FALSE,
30011,Davis (Howard-Loop-bound),Davis (Purple Line),"(42.04771, -87.683543)",FALSE,FALSE,
30133,Dempster (Linden-bound),Dempster (Purple Line),"(42.041655, -87.681602)",FALSE,FALSE,
30134,Dempster (Howard-Loop-bound),Dempster (Purple Line),"(42.041655, -87.681602)",FALSE,FALSE,
30026,Dempster-Skokie (Arrival),Dempster-Skokie  (Yellow Line),"(42.038951, -87.751919)",FALSE,FALSE,
30027,Dempster-Skokie (Howard-bound),Dempster-Skokie  (Yellow Line),"(42.038951, -87.751919)",FALSE,FALSE,
30103,Diversey (Kimball-Linden-bound),Diversey (Brown & Purple Lines),"(41.932732, -87.653131)",FALSE,FALSE,
30104,Diversey (Loop-bound),Diversey (Brown & Purple Lines),"(41.932732, -87.653131)",FALSE,FALSE,
30062,Division (O'Hare-bound),Division (Blue Line),"(41.903355, -87.666496)",FALSE,FALSE,
30063,Division (Forest Pk-bound),Division (Blue Line),"(41.903355, -87.666496)",FALSE,FALSE,
30077,Forest Park (Terminal Arrival),Forest Park (Blue Line),"(41.874257, -87.817318)",FALSE,FALSE,
30076,Forest Park (O'Hare-bound),Forest Park (Blue Line),"(41.874257, -87.817318)",FALSE,FALSE,
30101,Foster (Linden-bound),Foster (Purple Line),"(42.05416, -87.68356)",FALSE,FALSE,
30102,Foster (Howard-Loop-bound),Foster (Purple Line),"(42.05416, -87.68356)",FALSE,FALSE,
30168,Francisco (Loop-bound),Francisco (Brown Line),"(41.966046, -87.701644)",FALSE,FALSE,
30167,Francisco (Kimball-bound),Francisco (Brown Line),"(41.966046, -87.701644)",FALSE,FALSE,
30234,Fullerton (95th-bound),"Fullerton (Red, Brown & Purple Lines)","(41.925051, -87.652866)",FALSE,FALSE,
30236,Fullerton (Loop-bound),"Fullerton (Red, Brown & Purple Lines)","(41.925051, -87.652866)",FALSE,FALSE,
30235,Fullerton (Kimball-Linden-bound),"Fullerton (Red, Brown & Purple Lines)","(41.925051, -87.652866)",FALSE,FALSE,
30233,Fullerton (Howard-bound),"Fullerton (Red, Brown & Purple Lines)","(41.925051, -87.652866)",FALSE,FALSE,
30100,Garfield (63rd-bound),Garfield (Green Line),"(41.795172, -87.618327)",FALSE,FALSE,
30224,Garfield (95th-bound),Garfield (Red Line),"(41.79542, -87.631157)",FALSE,FALSE,
30223,Garfield (Howard-bound),Garfield (Red Line),"(41.79542, -87.631157)",FALSE,FALSE,
30099,Garfield (Harlem-bound),Garfield (Green Line),"(41.795172, -87.618327)",FALSE,FALSE,
30096,Grand/Milwaukee (Forest Pk-bound),Grand (Blue Line),"(41.891189, -87.647578)",FALSE,FALSE,
30064,Grand/State (Howard-bound),Grand (Red Line),"(41.891665, -87.628021)",FALSE,FALSE,
30065,Grand/State (95th-bound),Grand (Red Line),"(41.891665, -87.628021)",FALSE,FALSE,
30095,Grand/Milwaukee (O'Hare-bound),Grand (Blue Line),"(41.891189, -87.647578)",FALSE,FALSE,
30148,Granville (95th-bound),Granville (Red Line),"(41.993664, -87.659202)",FALSE,FALSE,
30147,Granville (Howard-bound),Granville (Red Line),"(41.993664, -87.659202)",FALSE,FALSE,
30183,Halsted/63rd (Harlem-bound),Halsted (Green Line),"(41.778943, -87.644244)",FALSE,FALSE,
30216,Halsted (Midway-bound),Halsted (Orange Line),"(41.84678, -87.648088)",FALSE,FALSE,
30184,Halsted/63rd (Ashland-bound),Halsted (Green Line),"(41.778943, -87.644244)",FALSE,FALSE,
30215,Halsted (Loop-bound),Halsted (Orange Line),"(41.84678, -87.648088)",FALSE,FALSE,
30189,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem (Blue Line - Forest Park Branch),"(41.87349, -87.806961)",FALSE,FALSE,
30146,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem (Blue Line - O'Hare Branch),"(41.98227, -87.8089)",FALSE,FALSE,
30145,Harlem (O'Hare Branch) (O'Hare-bound),Harlem (Blue Line - O'Hare Branch),"(41.98227, -87.8089)",FALSE,FALSE,
30190,Harlem (Forest Pk Branch) (Terminal arrival),Harlem (Blue Line - Forest Park Branch),"(41.87349, -87.806961)",FALSE,FALSE,
30003,Harlem (63rd-bound),Harlem/Lake (Green Line),"(41.886848, -87.803176)",FALSE,FALSE,
30004,Harlem (Terminal arrival),Harlem/Lake (Green Line),"(41.886848, -87.803176)",FALSE,FALSE,
30165,H.W. Library (Outer Loop),"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)","(41.876862, -87.628196)",FALSE,FALSE,
30166,H.W. Library (Inner Loop),"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)","(41.876862, -87.628196)",FALSE,FALSE,
30286,Harrison (95th-bound),Harrison (Red Line),"(41.874039, -87.627479)",FALSE,FALSE,
30285,Harrison (Howard-bound),Harrison (Red Line),"(41.874039, -87.627479)",FALSE,FALSE,
30173,Howard (Terminal arrival),"Howard (Red, Purple & Yellow Lines)","(42.019063, -87.672892)",FALSE,FALSE,
30176,Howard (Terminal arrival),"Howard (Red, Purple & Yellow Lines)","(42.019063, -87.672892)",FALSE,FALSE,
30175,"Howard (Linden, Skokie-bound)","Howard (Red, Purple & Yellow Lines)","(42.019063, -87.672892)",FALSE,FALSE,
30174,Howard (95th-Bound),"Howard (Red, Purple & Yellow Lines)","(42.019063, -87.672892)",FALSE,FALSE,
30157,Illinois Medical District (O'Hare-bound),Illinois Medical District (Blue Line),"(41.875706, -87.673932)",FALSE,FALSE,
30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District (Blue Line),"(41.875706, -87.673932)",FALSE,FALSE,
30059,Indiana (63rd-bound),Indiana (Green Line),"(41.821732, -87.621371)",FALSE,FALSE,
30058,Indiana (Harlem-bound),Indiana (Green Line),"(41.821732, -87.621371)",FALSE,FALSE,
30282,Irving Park (Loop-bound),Irving Park (Brown Line),"(41.954521, -87.674868)",FALSE,FALSE,
30107,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park (Blue Line),"(41.952925, -87.729229)",FALSE,FALSE,
30108,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park (Blue Line),"(41.952925, -87.729229)",FALSE,FALSE,
30281,Irving Park (Kimball-bound),Irving Park (Brown Line),"(41.954521, -87.674868)",FALSE,FALSE,
30014,Jackson/Dearborn (O'Hare-bound),Jackson (Blue Line),"(41.878183, -87.629296)",FALSE,FALSE,
30110,Jackson/State (95th-bound),Jackson (Red Line),"(41.878153, -87.627596)",FALSE,FALSE,
30109,Jackson/State (Howard-bound),Jackson (Red Line),"(41.878153, -87.627596)",FALSE,FALSE,
30015,Jackson/Dearborn (Forest Pk-bound),Jackson (Blue Line),"(41.878183, -87.629296)",FALSE,FALSE,
30227,Jarvis (Howard-bound),Jarvis (Red Line),"(42.015876, -87.669092)",FALSE,FALSE,
30228,Jarvis (95th-bound),Jarvis (Red Line),"(42.015876, -87.669092)",FALSE,FALSE,
30247,Jefferson Park (O'Hare-bound),Jefferson Park (Blue Line),"(41.970634, -87.760892)",FALSE,FALSE,
30248,Jefferson Park (Forest Pk-bound),Jefferson Park (Blue Line),"(41.970634, -87.760892)",FALSE,FALSE,
30226,Kedzie (Loop-bound),Kedzie (Brown Line),"(41.965996, -87.708821)",FALSE,FALSE,
30219,Kedzie (Loop-bound),Kedzie (Orange Line),"(41.804236, -87.704406)",FALSE,FALSE,
30220,Kedzie (Midway-bound),Kedzie (Orange Line),"(41.804236, -87.704406)",FALSE,FALSE,
30202,Kedzie (54th/Cermak-bound),Kedzie (Pink Line),"(41.853964, -87.705408)",FALSE,FALSE,
30201,Kedzie (Loop-bound),Kedzie (Pink Line),"(41.853964, -87.705408)",FALSE,FALSE,
30225,Kedzie (Kimball-bound),Kedzie (Brown Line),"(41.965996, -87.708821)",FALSE,FALSE,
30207,Kedzie (63rd-bound),Kedzie (Green Line),"(41.884321, -87.706155)",FALSE,FALSE,
30208,Kedzie (Harlem-bound),Kedzie (Green Line),"(41.884321, -87.706155)",FALSE,FALSE,
30049,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan (Blue Line),"(41.874341, -87.70604)",FALSE,FALSE,
30048,Kedzie-Homan (O'Hare-bound),Kedzie-Homan (Blue Line),"(41.874341, -87.70604)",FALSE,FALSE,
30249,Kimball (Terminal arrival),Kimball (Brown Line),"(41.967901, -87.713065)",FALSE,FALSE,
